"old_asset_id","old_asset_code","old_asset_name","manufacturer","model","serial_number","zone_name","cm_count","cm_numbers"
"c2c4d455-9d0f-4c71-a2b1-dc1baa55a93c","RTB-ADP-001","AMINE DOSING PUMP","","CNPB1003PVT209A10","","Boiler&Combustion","1","CM-RTB-2026-09-0009"
"ff80ae36-fb88-419e-abcd-15c563880a6e","RTB-ALOP-001","AUXILIARY LUBRICATION OIL PUMP","G Apex","3 PH Induction Motor","NADH100850","Turbine","1","CM-RTB-2026-08-0004"
"a1fc8c01-e5f5-44a8-a9de-fb5da37a6832","RTB-ARC-004","Rotary Air Lock No. 4","NORD","90L/4","34712600","ASH handing","2","CM-RTB-2026-08-0013;CM-RTB-2026-08-0040"
"88b9f092-73e7-4615-b32e-16f43a9bb18a","RTB-ASC-005","Ash Screw Sealing No. 5","NORD","SK 80L/4","33712100","ASH handing","2","CM-RTB-2026-08-0010;CM-RTB-2026-08-0011"
"aca72af5-22d1-4ad3-82f5-dce830a57e8c","RTB-ASC-011","Ash Screw Conveyor No. 11","NORD","SK 80L/4","33712100","ASH handing","1","CM-RTB-2026-08-0048"
"1d7c6b5f-7b78-41a7-a94d-261de9b5082c","RTB-CDP-003","CHLORINATION DOSING PUMP","","CNPB0704PVT209A010","","Cooling Tower","1","CM-RTB-2026-08-0030"
"bd087a25-7212-4aee-ba13-cb66b08a5bf1","RTB-COP-001","CONTROL OIL PUMP","","","","Turbine","2","CM-RTB-2026-08-0018;CM-RTB-2026-09-0008"
"cmsq7hvkz006d5qt0bopbj387","rtb-DPT-200-001","DPT-200 Diff pr across lube oil filter high","EJA110E","Turbine","","Turbine","1","CM-RTB-2026-09-0003"
"f9b259f8-6e39-4a0b-8279-0f6f1bb913b3","RTB-FBC-008","Fuel Belt Conveyor No. 1","Nord","SK160L/4 BRE250 HL TF","202832880-100","Fuel preparation","2","CM-RTB-2026-08-0006;CM-RTB-2026-08-0028"
"a6297ade-0652-4cdf-9692-0742fc110f00","RTB-FBC-009","Fuel Belt Conveyor No. 2","Nord","SK160L/4 BRE250 HL TF","202832880-100","Fuel preparation","2","CM-RTB-2026-08-0046;CM-RTB-2026-08-0049"
"b1ccb4f6-3d6b-4e3a-a739-187076514b9a","RTB-FHF-002","HYDRAULIC COOLING FAN No. 2","MAER","YDWF74L34P4-422P-350S","","Fuel preparation","1","CM-RTB-2026-08-0035"
"6a788ede-5446-4384-ac44-3eb6370f9ba9","RTB-FHP-002","HYDRAULIC MOVING FLOOR No. 2","ABB","M2BAX180ML34","3G1C20070749399008","Fuel preparation","1","CM-RTB-2026-08-0036"
"59a5e136-c4c6-4484-8e6c-5941e9c69c0c","RTB-FHP-003","HYDRAULIC MOVING FLOOR No. 3","ABB","M2BAX180ML34","3G1C20070749399008","Fuel preparation","1","CM-RTB-2026-08-0001"
"43fb934f-c09d-44a4-aef9-8a1338a0f7b5","RTB-FHP-004","HYDRAULIC MOVING FLOOR No. 4","ABB","M2BAX180ML34","3G1C20070749399008","Fuel preparation","1","CM-RTB-2026-09-0001"
"b546c85b-ae78-4472-94f6-44750d188271","RTB-HPH-003","HOPPER HEATER NO.3 (HH1-3 JB1)","","","","","ESP","1"
"cmsq7i48u00715qt07wiifwds","rtb-PS-202-001","PS-202 Lube oil pr low & very low","Switzer","Turbine","","Turbine","2","CM-RTB-2026-08-0029;CM-RTB-2026-08-0045"
"cmsq7i6dd00775qt06qgp91o4","rtb-PS-204A-001","PS-204A Lube oil pr low & very low","Switzer","Turbine","","Turbine","1","CM-RTB-2026-09-0006"
"e97a9939-ed9a-4a2d-98f9-09395f821562","RTB-SPD-002","SPINDLE FOR UNBURN No. 1","NORD","33712100","","ASH handing","1","CM-RTB-2026-09-0002"
"5ff2cb55-3507-452d-9dc3-e54dac78caa6","RTB-TRC-001","TRCC-1","","","","ESP","1","CM-RTB-2026-09-0007"
"cmss3itsh0049auytd3hxmq1j","RTB-CV3009-001","CV-3009 HEADER TO BD TK","ROTORK","YT-3300 LSI 1200S","","Boiler&Combustion","1","CM-RTB-2026-09-0014"
"cmss3iyvx0059auytxbhmkh5u","RTB-CV3204-001","CV-3204 SOOT BLOWER LINE OPN","ROTORK","YT-3300 LSI 1200S","","Boiler&Combustion","1","CM-RTB-2026-09-0015"
"cmss3izgb005dauyt5s4osxsk","RTB-CV3205-001","CV-3205","ROTORK","YT-3300 LSI 1200S","","Boiler&Combustion","1","CM-RTB-2026-09-0016"
