old_asset_id,old_asset_code,old_asset_name,cm_count,cm_numbers,new_asset_id,new_asset_code,new_registration_code,new_tag_kks,new_asset_name,match_status,match_basis,score
c2c4d455-9d0f-4c71-a2b1-dc1baa55a93c,RTB-ADP-001,AMINE DOSING PUMP,1,CM-RTB-2026-09-0009,AST-000105,MC-PUM-001,,MC-CP-3402,Amine Dosing Pump,REVIEW,NAME_EXACT,60
ff80ae36-fb88-419e-abcd-15c563880a6e,RTB-ALOP-001,AUXILIARY LUBRICATION OIL PUMP,1,CM-RTB-2026-08-0004,AST-000291,MC-PUM-018,,,Auxiliary Lubrication Oil Pump,REVIEW,NAME_EXACT,60
a1fc8c01-e5f5-44a8-a9de-fb5da37a6832,RTB-ARC-004,Rotary Air Lock No. 4,2,CM-RTB-2026-08-0013;CM-RTB-2026-08-0040,AST-000437,MC-GEB-005,,MC-ARC-5004,Rotary Air Lock No. 4,AUTO_MATCH,SERIAL+NAME_EXACT+MODEL,125
88b9f092-73e7-4615-b32e-16f43a9bb18a,RTB-ASC-005,Ash Screw Sealing No. 5,2,CM-RTB-2026-08-0010;CM-RTB-2026-08-0011,AST-000493,MC-GEB-012,,MC-ASC-5001,Ash Screw Sealing No. 1,AMBIGUOUS,SERIAL+NAME_SIMILAR+MODEL,98
aca72af5-22d1-4ad3-82f5-dce830a57e8c,RTB-ASC-011,Ash Screw Conveyor No. 11,1,CM-RTB-2026-08-0048,AST-000469,MC-MOT-002,,MC-ASC-5011,Motor - Ash Screw Conveyor No. 11,REVIEW,SERIAL+NAME_SIMILAR+MODEL,96
1d7c6b5f-7b78-41a7-a94d-261de9b5082c,RTB-CDP-003,CHLORINATION DOSING PUMP,1,CM-RTB-2026-08-0030,AST-000352,MC-CLP-031,MC-CLP-031,,Chlorine Dosing Pump,UNMATCHED,NAME_SIMILAR,30
bd087a25-7212-4aee-ba13-cb66b08a5bf1,RTB-COP-001,CONTROL OIL PUMP,2,CM-RTB-2026-08-0018;CM-RTB-2026-09-0008,AST-000327,MC-COP-001,MC-COP-001,,Control Oil Pump No. 1,UNMATCHED,NAME_SIMILAR,32
cmsq7hvkz006d5qt0bopbj387,rtb-DPT-200-001,DPT-200 Diff pr across lube oil filter high,1,CM-RTB-2026-09-0003,,,,,,UNMATCHED,,0
f9b259f8-6e39-4a0b-8279-0f6f1bb913b3,RTB-FBC-008,Fuel Belt Conveyor No. 1,2,CM-RTB-2026-08-0006;CM-RTB-2026-08-0028,AST-000086,MC-MOT-074,,MC-FBC-1101,Motor - Fuel Belt CONVEYOR-01,AMBIGUOUS,SERIAL+MODEL,65
a6297ade-0652-4cdf-9692-0742fc110f00,RTB-FBC-009,Fuel Belt Conveyor No. 2,2,CM-RTB-2026-08-0046;CM-RTB-2026-08-0049,AST-000086,MC-MOT-074,,MC-FBC-1101,Motor - Fuel Belt CONVEYOR-01,AMBIGUOUS,SERIAL+MODEL,65
b1ccb4f6-3d6b-4e3a-a739-187076514b9a,RTB-FHF-002,HYDRAULIC COOLING FAN No. 2,1,CM-RTB-2026-08-0035,AST-000092,MC-MOT-080,,MC-FHF-02,Motor - Hydraulic Cooling Fan 02,UNMATCHED,NAME_SIMILAR+MODEL,49
6a788ede-5446-4384-ac44-3eb6370f9ba9,RTB-FHP-002,HYDRAULIC MOVING FLOOR No. 2,1,CM-RTB-2026-08-0036,AST-000096,MC-MOT-084,,MC-FHP-02,Motor - Hydraulic Moving Floor 02,REVIEW,SERIAL+NAME_SIMILAR+MODEL,94
59a5e136-c4c6-4484-8e6c-5941e9c69c0c,RTB-FHP-003,HYDRAULIC MOVING FLOOR No. 3,1,CM-RTB-2026-08-0001,AST-000097,MC-MOT-085,,MC-FHP-03,Motor - Hydraulic Moving Floor 03,REVIEW,SERIAL+NAME_SIMILAR+MODEL,94
43fb934f-c09d-44a4-aef9-8a1338a0f7b5,RTB-FHP-004,HYDRAULIC MOVING FLOOR No. 4,1,CM-RTB-2026-09-0001,AST-000098,MC-MOT-086,,MC-FHP-04,Motor - Hydraulic Moving Floor 04,REVIEW,SERIAL+NAME_SIMILAR+MODEL,94
b546c85b-ae78-4472-94f6-44750d188271,RTB-HPH-003,HOPPER HEATER NO.3 (HH1-3 JB1),ESP,1,,,,,,UNMATCHED,,0
cmsq7i48u00715qt07wiifwds,rtb-PS-202-001,PS-202 Lube oil pr low & very low,2,CM-RTB-2026-08-0029;CM-RTB-2026-08-0045,,,,,,UNMATCHED,,0
cmsq7i6dd00775qt06qgp91o4,rtb-PS-204A-001,PS-204A Lube oil pr low & very low,1,CM-RTB-2026-09-0006,,,,,,UNMATCHED,,0
e97a9939-ed9a-4a2d-98f9-09395f821562,RTB-SPD-002,SPINDLE FOR UNBURN No. 1,1,CM-RTB-2026-09-0002,AST-000441,MC-GEB-009,,MC-SPD-5001,Spindle For Unburn No. 1,REVIEW,NAME_EXACT+MODEL,80
5ff2cb55-3507-452d-9dc3-e54dac78caa6,RTB-TRC-001,TRCC-1,1,CM-RTB-2026-09-0007,,,,,,UNMATCHED,,0
