old_asset_id,old_asset_code,target_asset_code,status
AST-000428,MC-ASC-005,MA-ASH-005,CONFIRMED
AST-000421,MC-ASC-011,MA-ASH-011,CONFIRMED
AST-000352,MC-CLP-031,MA-CLP-001,CONFIRMED
AST-000327,MC-COP-001,MA-COP-001,CONFIRMED
AST-000615,MC-CVL-009,CV-3009,CONFIRMED
AST-000624,MC-CVL-018,CV-3204,CONFIRMED
AST-000625,MC-CVL-019,CV-3205,CONFIRMED
AST-000293,MC-DPT-001,DPT2001,CONFIRMED
AST-CM-HPH-003,MC-EEQ-002,PA-ESE-001-03,CONFIRMED
AST-CM-TRC-001,MC-EEQ-003,MA-ESP-001,CONFIRMED
AST-000037,MC-FAN-004,SA-HVF-002-02,CONFIRMED
AST-000023,MC-FBC-001,MA-FBC-001,CONFIRMED
AST-000024,MC-FBC-002,MA-FBC-002,CONFIRMED
AST-000437,MC-GEB-005,MA-RAL-004,CONFIRMED
AST-000441,MC-GEB-009,MA-SFU-001,CONFIRMED
AST-000309,MC-PIN-002,PS-202,CONFIRMED
AST-000311,MC-PIN-004,PS-204A,CONFIRMED
AST-000105,MC-PUM-001,MA-ADP-001,CONFIRMED
AST-000045,MC-PUM-014,MA-HVF-002,CONFIRMED
AST-000046,MC-PUM-015,MA-HVF-003,CONFIRMED
AST-000047,MC-PUM-016,MA-HVF-004,CONFIRMED
AST-000291,MC-PUM-018,MA-AOP-001,CONFIRMED
