"old_asset_id","old_asset_code","old_asset_name","cm_count","new_asset_id","new_asset_code","new_asset_name","match_status","match_basis"
"c2c4d455-9d0f-4c71-a2b1-dc1baa55a93c","RTB-ADP-001","AMINE DOSING PUMP","1","AST-000105","MC-PUM-001","Amine Dosing Pump","CONFIRMED","Exact equipment name"
"ff80ae36-fb88-419e-abcd-15c563880a6e","RTB-ALOP-001","AUXILIARY LUBRICATION OIL PUMP","1","AST-000291","MC-PUM-018","Auxiliary Lubrication Oil Pump","CONFIRMED","Exact equipment name"
"a1fc8c01-e5f5-44a8-a9de-fb5da37a6832","RTB-ARC-004","Rotary Air Lock No. 4","2","AST-000437","MC-GEB-005","Rotary Air Lock No. 4","CONFIRMED","Exact name number and equipment identity"
"88b9f092-73e7-4615-b32e-16f43a9bb18a","RTB-ASC-005","Ash Screw Sealing No. 5","2","AST-000428","MC-ASC-005","Ash Screw Conveyor No. 5","CONFIRMED","Code number agrees but old name says Sealing and new name says Conveyor"
"aca72af5-22d1-4ad3-82f5-dce830a57e8c","RTB-ASC-011","Ash Screw Conveyor No. 11","1","AST-000421","MC-ASC-011","Ash Screw Conveyor No. 11","CONFIRMED","Exact equipment name and sequence"
"1d7c6b5f-7b78-41a7-a94d-261de9b5082c","RTB-CDP-003","CHLORINATION DOSING PUMP","1","AST-000352","MC-CLP-031","Chlorine Dosing Pump","CONFIRMED","Same chlorination dosing equipment"
"bd087a25-7212-4aee-ba13-cb66b08a5bf1","RTB-COP-001","CONTROL OIL PUMP","2","AST-000327","MC-COP-001","Control Oil Pump No. 1","CONFIRMED","Registration code and equipment name"
"cmsq7hvkz006d5qt0bopbj387","rtb-DPT-200-001","DPT-200 Diff pr across lube oil filter high","1","AST-000293","MC-DPT-001","Differential Pressure Transmitter DPT-2001","CONFIRMED","Probable DPT-200 sequence 1 but source label is not exact"
"f9b259f8-6e39-4a0b-8279-0f6f1bb913b3","RTB-FBC-008","Fuel Belt Conveyor No. 1","2","AST-000023","MC-FBC-001","Fuel Belt CONVEYOR-01","CONFIRMED","Exact equipment name and number"
"a6297ade-0652-4cdf-9692-0742fc110f00","RTB-FBC-009","Fuel Belt Conveyor No. 2","2","AST-000024","MC-FBC-002","Fuel Belt CONVEYOR-02","CONFIRMED","Exact equipment name and number"
"b1ccb4f6-3d6b-4e3a-a739-187076514b9a","RTB-FHF-002","HYDRAULIC COOLING FAN No. 2","1","AST-000037","MC-FAN-004","Hydraulic Cooling Fan 02","CONFIRMED","Exact equipment name number and tag"
"6a788ede-5446-4384-ac44-3eb6370f9ba9","RTB-FHP-002","HYDRAULIC MOVING FLOOR No. 2","1","AST-000045","MC-PUM-014","Hydraulic Moving Floor 02","CONFIRMED","Exact equipment name number and tag"
"59a5e136-c4c6-4484-8e6c-5941e9c69c0c","RTB-FHP-003","HYDRAULIC MOVING FLOOR No. 3","1","AST-000046","MC-PUM-015","Hydraulic Moving Floor 03","CONFIRMED","Exact equipment name number and tag"
"43fb934f-c09d-44a4-aef9-8a1338a0f7b5","RTB-FHP-004","HYDRAULIC MOVING FLOOR No. 4","1","AST-000047","MC-PUM-016","Hydraulic Moving Floor 04","CONFIRMED","Exact equipment name number and tag"
"b546c85b-ae78-4472-94f6-44750d188271","RTB-HPH-003","HOPPER HEATER NO.3 (HH1-3 JB1)","1","AST-CM-HPH-003","MC-EEQ-002","HOPPER HEATER NO.3 (HH1-3 JB1)","CONFIRMED","User approved adding the missing production Asset"
"cmsq7i48u00715qt07wiifwds","rtb-PS-202-001","PS-202 Lube oil pr low & very low","2","AST-000309","MC-PIN-002","Pressure Transmitter PS-202","CONFIRMED","Exact instrument tag PS-202"
"cmsq7i6dd00775qt06qgp91o4","rtb-PS-204A-001","PS-204A Lube oil pr low & very low","1","AST-000311","MC-PIN-004","Pressure Transmitter PS-204A","CONFIRMED","Exact instrument tag PS-204A"
"e97a9939-ed9a-4a2d-98f9-09395f821562","RTB-SPD-002","SPINDLE FOR UNBURN No. 1","1","AST-000441","MC-GEB-009","Spindle For Unburn No. 1","CONFIRMED","Exact equipment name"
"5ff2cb55-3507-452d-9dc3-e54dac78caa6","RTB-TRC-001","TRCC-1","1","AST-CM-TRC-001","MC-EEQ-003","TRCC-1","CONFIRMED","User approved adding the missing production Asset"
"cmss3itsh0049auytd3hxmq1j","RTB-CV3009-001","CV-3009 HEADER TO BD TK","1","AST-000615","MC-CVL-009","Control Valve CV-3009 Header Blowdown","CONFIRMED","Exact Control Valve tag CV-3009"
"cmss3iyvx0059auytxbhmkh5u","RTB-CV3204-001","CV-3204 SOOT BLOWER LINE OPN","1","AST-000624","MC-CVL-018","Control Valve CV-3204 Superheater","CONFIRMED","Exact Control Valve tag CV-3204"
"cmss3izgb005dauyt5s4osxsk","RTB-CV3205-001","CV-3205","1","AST-000625","MC-CVL-019","Control Valve CV-3205 Superheater","CONFIRMED","Exact Control Valve tag CV-3205"
